Assert.assertArrayEquals(buildKey("123"), buildKey(new String("123")), "Arrays não iguais")
Assert.assertArrayEquals(buildKey(new byte[] { 1, 2, 3 }), buildKey(new byte[] { 1, 2, 3 }), "Arrays não iguais")
Assert.assertArrayEquals(buildKey(123), buildKey(123), "Números não iguais")
Assert.assertArrayEquals(buildKey(123L), buildKey(123L), "Números não iguais")
Assert.assertArrayEquals(buildKey(true), buildKey(true), "Booleanos não iguais")
Assert.assertArrayEquals(buildKey(new Date(123)), buildKey(new Date(123)), "Datas não iguais")
Assert.assertArrayEquals(buildKey(c1), buildKey(c2), "Objetos não iguais")
assertArrayEquals(byteKey, c.buildKey(byteKey), "Códigos não iguais")
assertArrayEquals(strKey.getBytes(), c.buildKey(strKey), "Caracteres não iguais")
assertArrayEquals(byteKey, c.buildKey(byteKey), "Códigos não iguais")
assertArrayEquals(strKey.getBytes(), c.buildKey(strKey), "Caracteres não iguais")
assertArrayEquals(convertedKey.getBytes(), c.buildKey(byteKey), "Converteção de chave não igual")
assertArrayEquals(convertedKey.getBytes(), c.buildKey(strKey), "Converteção de chave não igual")
assertArrayEquals(convertedKey.getBytes(), c.buildKey("long long long str"), "Converteção de chave não igual")
assertArrayEquals(convertedKey.getBytes(), c.buildKey(1), "Converteção de chave não igual")
assertArrayEquals(strKey.getBytes(), c.buildKey(strKey.getBytes()), "Caracteres não iguais")
assertArrayEquals(strKey.getBytes(), c.buildKey(strKey.getBytes()), "Caracteres não iguais")
assertArrayEquals(strKey.getBytes(), c.buildKey(strKey.getBytes()), "Caracteres não iguais")
Assert.assertEquals(target.count(), target.count(), "Contagem igual")
Assert.assertNotEquals(service.notCachedCount(), service.notCachedCount(), "Contagem diferente")
Assert.assertSame(c, c2, "Objetos iguais")
Assert.assertEquals(CacheResultCode.NOT_EXISTS, cache.GET("BASE_K1").getResultCode(), "Resultado de get não existe")
Assert.assertEquals(CacheResultCode.SUCCESS, cache.PUT("BASE_K1", "V1", 10, TimeUnit.SECONDS).getResultCode(), "Resultado de put é sucesso")
