Assertions.assertEquals(10, object.getInt("int", 0), "Valor esperado de 'int' não encontrado")
Assertions.assertEquals(100, object.getLong("long", 0), "Valor esperado de 'long' não encontrado")
Assertions.assertEquals(true, object.getBoolean("boolean", false), "Valor esperado de 'boolean' não encontrado")
Assertions.assertEquals("test", object.getString("string", null), "Valor esperado de 'string' não encontrado")
Assertions.assertEquals(object.toMap(), symmetric.toMap(), "Mapeamento não está correto")
Assertions.assertEquals("ABCDEF", markdown.compute("**A_B||C~~D__E`F`__~~||_**"), "Markdown não está correto")
Assertions.assertEquals("", markdown.compute(""), "Valor esperado para string vazia não encontrado")
Assertions.assertEquals("Hello World ~~~~", markdown.compute("Hello World ~~~~"), "Valor esperado não encontrado")
Assertions.assertEquals("Hello World ~", markdown.compute("Hello World ~~~~~"), "Valor esperado não encontrado")
Assertions.assertEquals("Hello", markdown.compute("**Hello**"), "Valor esperado não encontrado")
Assertions.assertEquals("**Hello", markdown.compute("**Hello")), "Valor esperado não encontrado")
Assertions.assertEquals("\\**Hello*", markdown.compute("\\**Hello***"), "Valor esperado não encontrado")
Assertions.assertEquals("Hello", markdown.compute("__Hello__"), "Valor esperado não encontrado")
Assertions.assertEquals("__Hello", markdown.compute("__Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("\\__Hello__", markdown.compute("\\__Hello__"), "Valor esperado não encontrado")
Assertions.assertEquals("Hello", markdown.compute("~~Hello~~"), "Valor esperado não encontrado")
Assertions.assertEquals("~~Hello", markdown.compute("~~Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("\\~~Hello~~", markdown.compute("\\~~Hello~~"), "Valor esperado não encontrado")
Assertions.assertEquals("||Hello||", markdown.compute("||Hello||"), "Valor esperado não encontrado")
Assertions.assertEquals("||Hello", markdown.compute("||Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("`Hello`", markdown.compute("`Hello`"), "Valor esperado não encontrado")
Assertions.assertEquals("`Hello", markdown.compute("`Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("`Hello **World**`", markdown.compute("`Hello **World**`"), "Valor esperado não encontrado")
Assertions.assertEquals("`Hello **World**", markdown.compute("`Hello **World`"), "Valor esperado não encontrado")
Assertions.assertEquals("``Hello``", markdown.compute("``Hello``"), "Valor esperado não encontrado")
Assertions.assertEquals("``Hello", markdown.compute("``Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("``Hello **World**``", markdown.compute("``Hello **World**``"), "Valor esperado não encontrado")
Assertions.assertEquals("``Hello **World**", markdown.compute("``Hello **World`"), "Valor esperado não encontrado")
Assertions.assertEquals("``Hello `to` World``", markdown.compute("``Hello `to` World``"), "Valor esperado não encontrado")
Assertions.assertEquals("``Hello `to` World", markdown.compute("``Hello `to` World"), "Valor esperado não encontrado")
Assertions.assertEquals("```Hello```", markdown.compute("```Hello```"), "Valor esperado não encontrado")
Assertions.assertEquals("```Hello", markdown.compute("```Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("```Hello **World**```", markdown.compute("```Hello **World**```"), "Valor esperado não encontrado")
Assertions.assertEquals("```Hello **World**", markdown.compute("```Hello **World`"), "Valor esperado não encontrado")
Assertions.assertEquals("```Hello `to` World```", markdown.compute("```Hello `to` World``"), "Valor esperado não encontrado")
Assertions.assertEquals("```Hello `to` World", markdown.compute("```Hello `to` World"), "Valor esperado não encontrado")
Assertions.assertEquals("```java\nTest```", markdown.compute("```java\nTest```"), "Valor esperado não encontrado")
Assertions.assertEquals("> Hello > World", markdown.compute("> Hello > World"), "Valor esperado não encontrado")
Assertions.assertEquals("> Hello\n> World", markdown.compute("> Hello\n> World"), "Valor esperado não encontrado")
Assertions.assertEquals(">>> Hello\nWorld", markdown.compute(">>> Hello\nWorld"), "Valor esperado não encontrado")
Assertions.assertEquals(">>>\nHello\nWorld", markdown.compute(">>>\nHello\nWorld"), "Valor esperado não encontrado")
Assertions.assertEquals(">>>\nHello > World", markdown.compute(">>>\nHello > World"), "Valor esperado não encontrado")
Assertions.assertEquals("\\*\\*A\\_B\\||C\\~~D\\_\\_E\\`F\\`\\_\\_\\~~\\||\\_\\*", markdown.compute("**A_B||C~~D__E`F`__~~||_**"), "Valor esperado não encontrado")
Assertions.assertEquals("\\*\\*Hello\\*\\*", markdown.compute("**Hello**"), "Valor esperado não encontrado")
Assertions.assertEquals("\\*\\*Hello", markdown.compute("**Hello"), "Valor esperado não encontrado")
Assertions.assertEquals("*Hello*", markdown.compute("*Hello*"), "Valor esperado não encontrado")
Assertions.assertEquals("_Hello_", markdown.compute("_Hello_"), "Valor esperado não encontrado")
