ERAM Esperados valores iguais, mas \[valor esperado] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor1] não é igual a \[valor2].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor1] não é igual a \[valor2].
ERAM valores iguais, mas \[valor3] não é igual a \[valor4].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor1] não é igual a \[valor2].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor1] não é igual a \[valor2].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor1] não é igual a \[valor2].
ERAM valores iguais, mas \[valor3] não é igual a \[valor4].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor1] não é igual a \[valor2].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
ERAM valores iguais, mas \[valor] não é igual a \[explicação do valor de teste].
