eram esperados valores iguais, mas TextRenderData é diferente de typeArguments[0]
eram esperados valores iguais, mas TextRenderData é diferente de typeArguments[0]
assert result.getText() == data.getText()
assert ((HyperlinkTextRenderData) result).getUrl() == ((HyperlinkTextRenderData) data).getUrl()
assert result.getStyle().getColor() == data.getStyle().getColor()
assert result.getStyle().getUnderlinePatterns() == data.getStyle().getUnderlinePatterns()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getWidth() == data.getPictureStyle().getWidth()
assert result.getPictureStyle().getHeight() == data.getPictureStyle().getHeight()
