eram esperados valores iguais, mas 1 é diferente de belly.getCukes()
eram esperados valores iguais, mas 1 é diferente de belly.getCukes()
eram esperados valores iguais, mas 1 é diferente de bellyBean.getCukes()
eram esperados valores iguais, mas 1 é diferente de bellyBean.getCukes()
eram esperados valores iguais, mas 0 é diferente de belly.getCukes()
eram esperados valores iguais, mas 0 é diferente de belly.getCukes()
eram esperados valores iguais, mas 0 é diferente de bellyBean.getCukes()
eram esperados valores iguais, mas 0 é diferente de bellyBean.getCukes()
eram esperados valores iguais, mas 1 é diferente de belly.getCukes()
eram esperados valores iguais, mas 1 é diferente de belly.getCukes()
eram esperados valores iguais, mas 1 é diferente de bellyBean.getCukes()
eram esperados valores iguais, mas 1 é diferente de bellyBean.getCukes()
eram esperados valores iguais, mas 42 é diferente de calculator.add(2, 40)
eram esperados valores iguais, mas 42 é diferente de calculator.add(2, 40)
eram esperados valores iguais, mas 42 é diferente de calculator.add(2, 40)
eram esperados valores iguais, mas 42 é diferente de calculator.add(2, 40)
eram esperados valores iguais, mas 45 é diferente de calculator.add(2, 43)
eram esperados valores iguais, mas 45 é diferente de calculator.add(2, 43)
eram esperados valores iguais, mas 45 é diferente de calculator.add(2, 43)
eram esperados valores iguais, mas 45 é diferente de calculator.add(2, 43)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
eram esperados valores iguais, mas 314 é diferente de calculator.add(2, 312)
