"Mensagem de erro personalizada para o primeiro assert"
"Mensagem de erro personalizada para o segundo assert"
"Mensagem de erro personalizada para o terceiro assert"
"Mensagem de erro personalizada para o quarto assert"
"Mensagem de erro personalizada para o quinto assert"
"Mensagem de erro personalizada para o sexto assert"
"Mensagem de erro personalizada para o sétimo assert"
"Mensagem de erro personalizada para o oitavo assert"
"Mensagem de erro personalizada para o nono assert"
"Mensagem de erro personalizada para o décimo assert"
"Mensagem de erro personalizada para o décimo primeiro assert"
"Mensagem de erro personalizada para o décimo segundo assert"
"Mensagem de erro personalizada para o décimo terceiro assert"
"Mensagem de erro personalizada para o décimo quarto assert"
"Mensagem de erro personalizada para o décimo quinto assert"
"Mensagem de erro personalizada para o décimo sexto assert"
"Mensagem de erro personalizada para o décimo sétimo assert"
"Mensagem de erro personalizada para o décimo oitavo assert"
"Mensagem de erro personalizada para o décimo nono assert"
"Mensagem de erro personalizada para o vigésimo assert"
"Mensagem de erro personalizada para o vigésimo primeiro assert"
"Mensagem de erro personalizada para o vigésimo segundo assert"
"Mensagem de erro personalizada para o vigésimo terceiro assert"
"Mensagem de erro personalizada para o vigésimo quarto assert"
"Mensagem de erro personalizada para o vigésimo quinto assert"
"Mensagem de erro personalizada para o vigésimo sexto assert"
"Mensagem de erro personalizada para o vigésimo sétimo assert"
"Mensagem de erro personalizada para o vigésimo oitavo assert"
"Mensagem de erro personalizada para o vigésimo nono assert"
"Mensagem de erro personalizada para o trigésimo assert"
"Mensagem de erro personalizada para o trigésimo primeiro assert"
"Mensagem de erro personalizada para o trigésimo segundo assert"
"Mensagem de erro personalizada para o trigésimo terceiro assert"
"Mensagem de erro personalizada para o trigésimo quarto assert"
"Mensagem de erro personalizada para o trigésimo quinto assert"
"Mensagem de erro personalizada para o trigésimo sexto assert"
"Mensagem de erro personalizada para o trigésimo sétimo assert"
"Mensagem de erro personalizada para o trigésimo oitavo assert"
"Mensagem de erro personalizada para o trigésimo nono assert"
"Mensagem de erro personalizada para o quadragésimo assert"
"Mensagem de erro personalizada para o quadragésimo primeiro assert"
"Mensagem de erro personalizada para o quadragésimo segundo assert"
"Mensagem de erro personalizada para o quadragésimo terceiro assert"
"Mensagem de erro personalizada para o quadragésimo quarto assert"
"Mensagem de erro personalizada para o quadragésimo quinto assert"
"Mensagem de erro personalizada para o quadragésimo sexto assert"
"Mensagem de erro personalizada para o quadragésimo sétimo assert"
"Mensagem de erro personalizada para o quadragésimo oitavo assert"
"Mensagem de erro personalizada para o quadragésimo nono assert"
"Mensagem de erro personalizada para o quinquagésimo assert"
"Mensagem de erro personalizada para o quinquagésimo primeiro assert"
"Mensagem de erro personalizada para o quinquagésimo segundo assert"
"Mensagem de erro personalizada para o quinquagésimo terceiro assert"
"Mensagem de erro personalizada para o quinquagésimo quarto assert"
"Mensagem de erro personalizada para o quinquagésimo quinto assert"
"Mensagem de erro personalizada para o quinquagésimo sexto assert"
"Mensagem de erro personalizada para o quinquagésimo sétimo assert"
"Mensagem de erro personalizada para o quinquagésimo oitavo assert"
"Mensagem de erro personalizada para o quinquagésimo nono assert"
"Mensagem de erro personalizada para o sexagésimo assert"
"Mensagem de erro personalizada para o sexagésimo primeiro assert"
"Mensagem de erro personalizada para o sexagésimo segundo assert"
"Mensagem de erro personalizada para o sexagésimo terceiro assert"
"Mensagem de erro personalizada para o sexagésimo quarto assert"
"Mensagem de erro personalizada para o sexagésimo quinto assert"
"Mensagem de erro personalizada para o sexagésimo sexto assert"
"Mensagem de erro personalizada para o sexagésimo sétimo assert"
"Mensagem de erro personalizada para o sexagésimo oitavo assert"
"Mensagem de erro personalizada para o sexagésimo nono assert"
"Mensagem de erro personalizada para o septuagésimo assert"
"Mensagem de erro personalizada para o septuagésimo primeiro assert"
"Mensagem de erro personalizada para o septuagésimo segundo assert"
"Mensagem de erro personalizada para o septuagésimo terceiro assert"
"Mensagem de erro personalizada para o septuagésimo quarto assert"
"Mensagem de erro personalizada para o septuagésimo quinto assert"
"Mensagem de erro personalizada para o septuagésimo sexto assert"
"Mensagem de erro personalizada para o septuagésimo sétimo assert"
"Mensagem de erro personalizada para o septuagésimo oitavo assert"
"Mensagem de erro personalizada para o septuagésimo nono assert"
"Mensagem de erro personalizada para o octogésimo assert"
"Mensagem de erro personalizada para o octogésimo primeiro assert"
"Mensagem de erro personalizada para o octogésimo segundo assert"
"Mensagem de erro personalizada para o octogésimo terceiro assert"
"Mensagem de erro personalizada para o octogésimo quarto assert"
"Mensagem de erro personalizada para o octogésimo quinto assert"
"Mensagem de erro personalizada para o octogésimo sexto assert"
"Mensagem de erro personalizada para o octogésimo sétimo assert"
"Mensagem de erro personalizada para o octogésimo oitavo assert"
"Mensagem de erro personalizada para o octogésimo nono assert"
"Mensagem de erro personalizada para o nonagésimo assert"
"Mensagem de erro personalizada para o nonagésimo primeiro assert"
"Mensagem de erro personalizada para o nonagésimo segundo assert"
"Mensagem de erro personalizada para o nonagésimo terceiro assert"
"Mensagem de erro personalizada para o nonagésimo quarto assert"
"Mensagem de erro personalizada para o nonagésimo quinto assert"
"Mensagem de erro personalizada para o nonagésimo sexto assert"
"Mensagem de erro personalizada para o nonagésimo sétimo assert"
"Mensagem de erro personalizada para o nonagésimo oitavo assert"
"Mensagem de erro personalizada para o nonagésimo nono assert"
"Mensagem de erro personalizada para o centésimo assert"
"Mensagem de erro personalizada para o centésimo primeiro assert"
"Mensagem de erro personalizada para o centésimo segundo assert"
"Mensagem de erro personalizada para o centésimo terceiro assert"
"Mensagem de erro personalizada para o centésimo quarto assert"
"Mensagem de erro personalizada para o centésimo quinto assert"
"Mensagem de erro personalizada para o centésimo sexto assert"
"Mensagem de erro personalizada para o centésimo sétimo assert"
"Mensagem de erro personalizada para o centésimo oitavo assert"
"Mensagem de erro personalizada para o centésimo nono assert"
