"O corpo da resposta deveria ser 'Hey Ma', mas foi: {0}"
"O corpo da resposta deveria ser nulo, mas foi: {0}"
"O corpo da resposta deveria ser 'bar', mas foi: {0}"
"O corpo da resposta deveria ser nulo, mas foi: {0}"
"O status da resposta deveria ser 400, mas foi: {0}"
"O texto do status da resposta deveria ser 'wtf', mas foi: {0}"
"O corpo da resposta deveria ser 'boo', mas foi: {0}"
"O corpo da resposta deveria ser 'Hi', mas foi: {0}"
"O corpo da resposta deveria ser 'Hey Buddy', mas foi: {0}"
"O corpo da resposta deveria ser 'Yeaaaah Buddy', mas foi: {0}"
"O corpo da resposta deveria ser 'Call Result', mas foi: {0}"
"O objeto da resposta deveria ser o mesmo que o interceptor.response, mas não foi."
"O resultado deveria ser 'two', mas foi: {0}"
"O atributo 'say' do erro deveria ser 'Boo!', mas foi: {0}"
"O resultado deveria ser 'cool', mas foi: {0}"
"A variável 'wasCalled' deveria ser verdadeira, mas foi falsa."
"A URL deveria ser 'http://localhost/get/cheese/passed?fruit=apples', mas foi: {0}"
"O rawPath deveria ser 'http://localhost/get/{params}/passed', mas foi: {0}"
"O método HTTP deveria ser GET, mas foi: {0}"
"O status da resposta deveria ser BAD_REQUEST, mas foi: {0}"
"O texto do status da resposta deveria ser 'oh noes', mas foi: {0}"
"O status da resposta deveria ser BAD_REQUEST, mas foi: {0}"
"O texto do status da resposta deveria ser '', mas foi: {0}"
"O corpo da resposta deveria ser 'Hello World', mas foi: {0}"
"A string do corpo deveria ser 'Hello World', mas foi: {0}"
"O valor do atributo 'fruit' deveria ser 'apple', mas foi: {0}"
"O valor do atributo 'fruit' deveria ser 'apple', mas foi: {0}"
"O valor do atributo 'fruit' do POJO deveria ser 'apple', mas foi: {0}"
"O POJO deveria ser 'derp', mas foi: {0}"
"O POJO deveria ser 'derp', mas foi: {0}"
"O corpo da resposta deveria ser 'foo', mas foi: {0}"
"O valor do header 'monster' deveria ser 'grover', mas foi: {0}"
"O corpo da resposta deveria ser nulo, mas foi: {0}"
"O valor do header 'monster' deveria ser 'grover', mas foi: {0}"
"O status da resposta deveria ser 400, mas foi: {0}"
"O corpo da resposta deveria ser 'Bad Request', mas foi: {0}"
"O status da resposta deveria ser 400, mas foi: {0}"
"O valor do atributo 'message' do corpo da resposta deveria ser 'howdy', mas foi: {0}"
"O status da resposta deveria ser 400, mas foi: {0}"
"O valor do atributo 'fruit' do corpo da resposta deveria ser 'Pears', mas foi: {0}"
"O cliente deveria ser o mesmo, mas não foi."
"O cliente assíncrono deveria ser o mesmo, mas não foi."
"O cliente deveria ser uma instância de MockClient, mas não foi."
"O cliente assíncrono deveria ser uma instância de MockClient, mas não foi."
"O cliente deveria ser o mesmo, mas não foi."
"O cliente assíncrono deveria ser o mesmo, mas não foi."
"O cliente deveria ser uma instância de MockClient, mas não foi."
"O cliente assíncrono deveria ser uma instância de MockClient, mas não foi."
"O status da resposta deveria ser 200, mas foi: {0}"
"O corpo da resposta deveria ser 'Hi Mom', mas foi: {0}"
"O valor do header 'Accept' deveria ser 'application/xml', mas foi: {0}"
"O status da resposta deveria ser 400, mas foi: {0}"
"O corpo original da resposta deveria ser 'Hi Mom', mas foi: {0}"
"A mensagem do erro transformado deveria ser 'Transformed!', mas foi: {0}"
"O atributo 'text' deveria ser 'foo', mas foi: {0}"
"O atributo 'nmbr' deveria ser 42, mas foi: {0}"
"O atributo 'text' de 'another' deveria ser 'bar', mas foi: {0}"
"O atributo 'nmbr' de 'another' deveria ser 666, mas foi: {0}"
"O atributo 'another' de 'another' deveria ser nulo, mas foi: {0}"
"O atributo 'text' deveria ser 'foo', mas foi: {0}"
"O atributo 'nmbr' deveria ser 42, mas foi: {0}"
"O atributo 'text' de 'another' deveria ser 'bar', mas foi: {0}"
"O atributo 'nmbr' de 'another' deveria ser 666, mas foi: {0}"
"O atributo 'another' de 'another' deveria ser nulo, mas foi: {0}"
"A representação JSON do objeto deveria ser '{\"text\":null,\"nmbr\":null,\"another\":null}', mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"A mensagem deveria ser '{0}', mas foi: {1}"
"A mensagem de erro deveria ser '{\"message\":\"boom!\"}', mas foi: {0}"
"O erro deveria ser nulo, mas foi: {0}"
"O atributo 'merp' do erro deveria ser nulo, mas foi: {0}"
"O corpo original do erro de parsing deveria ser '{\"message\":\"boom!\"}', mas foi: {0}"
"A variável 'errorCalled' deveria ser verdadeira, mas foi falsa."
"A mensagem de exceção deveria ser 'boom!', mas foi: {0}"
"A mensagem de exceção deveria ser 'java.io.IOException: Something horrible happened', mas foi: {0}"
"O código de status da resposta deveria ser 200, mas foi: {0}"
"O Unirest deveria estar rodando, mas não está."
"O Unirest deveria estar rodando, mas não está."
"O Unirest deveria estar rodando, mas não está."
"As instâncias do Unirest deveriam ser as mesmas, mas não são."
"As instâncias do Unirest deveriam ser diferentes, mas são iguais."
"As instâncias do Unirest deveriam ser diferentes, mas são iguais."
"A quantidade de threads deveria ser menor ou igual a {0}, mas foi: {1}"
"O tamanho do cabeçalho padrão deveria ser 0, mas foi: {0}"
"Os objetos deveriam ser diferentes, mas são iguais."
"Os objetos deveriam ser diferentes, mas são iguais."
"O interceptor na posição 0 deveria ser {0}, mas foi: {1}"
"O timeout de conexão deveria ser 4000, mas foi: {0}"
"O status da resposta deveria ser 200, mas foi: {0}"
"O corpo da resposta deveria ser 'Howdy Ho!', mas foi: {0}"
"A variável 'requestConfigUsed' deveria ser verdadeira, mas foi falsa."
"A variável 'interceptorCalled' deveria ser verdadeira, mas foi falsa."
"O tamanho do cabeçalho deveria ser 1, mas foi: {0}"
"O valor do cabeçalho 'name' deveria ser 'Marco', mas foi: {0}"
"O valor do cabeçalho 'NAme' deveria ser 'Marco', mas foi: {0}"
"O valor do cabeçalho 'Name' deveria ser 'Marco', mas foi: {0}"

