Esperava-se que o cabeçalho `No` não estivesse presente, mas está presente em mappings.get(0).getRequest().getHeaders().
Esperava-se uma correspondência exata, mas match.isExactMatch() retornou falso.
Esperava-se uma correspondência exata, mas match.isExactMatch() retornou falso.
Esperava-se que `result` fosse verdadeiro, mas foi falso.
Esperava-se que `result` fosse verdadeiro, mas foi falso.
Esperava-se que `result` fosse falso, mas foi verdadeiro.
Esperava-se que `pattern.isMatchAny()` retornasse verdadeiro, mas retornou falso.
Esperava-se que `pattern.isMatchAll()` retornasse falso, mas retornou verdadeiro.
Esperava-se que `pattern.isMatchAny()` retornasse verdadeiro, mas retornou falso.
Esperava-se que `pattern.isMatchAll()` retornasse falso, mas retornou verdadeiro.
Esperava-se que `pattern.isMatchAll()` retornasse verdadeiro, mas retornou falso.
Esperava-se que `pattern.isMatchAny()` retornasse falso, mas retornou verdadeiro.
Esperava-se que `pattern` fosse nulo, mas não era.
Esperava-se uma correspondência exata para "2022-06-14T12:13:14Z", mas matcher.match("2022-06-14T12:13:14Z").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "2020-06-14T12:13:14Z", mas matcher.match("2020-06-14T12:13:14Z").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2022-06-14T12:13:14", mas matcher.match("2022-06-14T12:13:14").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "2020-06-14T12:13:14", mas matcher.match("2020-06-14T12:13:14").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2022-06-14T12:13:14Z", mas matcher.match("2022-06-14T12:13:14Z").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "2020-06-14T12:13:14Z", mas matcher.match("2020-06-14T12:13:14Z").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2021-07-01T23:59:59", mas matcher.match("2021-07-01T23:59:59").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "2021-06-01T15:15:15", mas matcher.match("2021-06-01T15:15:15").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para good.toString(), mas matcher.match(good.toString()).isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para bad.toString(), mas matcher.match(bad.toString()).isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para good.toString(), mas matcher.match(good.toString()).isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para bad.toString(), mas matcher.match(bad.toString()).isExactMatch() retornou verdadeiro.
Esperava-se que não houvesse uma correspondência exata para null, mas matcher.match(null).isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para good.toString(), mas matcher.match(good.toString()).isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para bad.toString(), mas matcher.match(bad.toString()).isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2021-01-01T00:00:00Z", mas matcher.match("2021-01-01T00:00:00Z").isExactMatch() retornou falso.
Esperava-se uma correspondência exata para "2021-01-01T00:00:00", mas matcher.match("2021-01-01T00:00:00").isExactMatch() retornou falso.
Esperava-se uma correspondência exata para "2022-06-01T11:22:33Z", mas matcher.match("2022-06-01T11:22:33Z").isExactMatch() retornou falso.
Esperava-se uma correspondência exata para "2019-06-01T11:22:33Z", mas matcher.match("2019-06-01T11:22:33Z").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "2020-06-01T11:22:33Z", mas matcher.match("2020-06-01T11:22:33Z").isExactMatch() retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
