Esperava-se que o nome canônico fosse "sun.misc.Unsafe", mas obteve-se: c.getCanonicalName()
Esperava-se que o id do usuário fosse 1, mas obteve-se: user.id
Esperava-se que o nome do usuário fosse "kraity", mas obteve-se: user.name
Esperava-se que o id do usuário fosse 1, mas obteve-se: user.id
Esperava-se que o nome do usuário fosse "kraity", mas obteve-se: user.name
Esperava-se que o valor do bean fosse 123, mas obteve-se: bean.value
Esperava-se que as referências fossem idênticas, mas jsonFactory é diferente de objectMapper.getFactory()
Esperava-se que o tamanho de products fosse 3, mas obteve-se: products.size()
Esperava-se que o id do primeiro produto fosse 1, mas obteve-se: products.get(0).id
Esperava-se que o id do segundo produto fosse 2, mas obteve-se: products.get(1).id
Esperava-se que o id do terceiro produto fosse 3, mas obteve-se: products.get(2).id
Esperava-se que o comprimento de SerializationFeature.values() fosse maior que 0, mas não foi.
Esperava-se que o tipo de new InvalidDefinitionException(null) fosse nulo, mas obteve-se: new InvalidDefinitionException(null).getType()
Esperava-se que a string fosse "{\time:\"121314\"}", mas obteve-se: str
Esperava-se que bean.time fosse igual a bean1.time, mas não foi.
Esperava-se que a string fosse "{\time:\"121314\"}", mas obteve-se: str
Esperava-se que bean.time fosse igual a bean1.time, mas não foi.
Esperava-se que a string fosse "{\time:\"121314\"}", mas obteve-se: str
Esperava-se que bean.time fosse igual a bean1.time, mas não foi.
Esperava-se que a string fosse "{\time:\"121314\"}", mas obteve-se: str
Esperava-se que bean.time fosse igual a bean1.time, mas não foi.
Esperava-se que a string fosse "{\time:\"121314\"}", mas obteve-se: str
Esperava-se que bean.time fosse igual a bean1.time, mas não foi.
Esperava-se que writer.writeValueAsString(bean) fosse igual a instantCsv, mas não foi.
Esperava-se que bean.data fosse igual a bean1.data, mas não foi.
Esperava-se que instantCsv fosse igual a str, mas não foi.
Esperava-se que bean.data fosse igual a bean1.data, mas não foi.
Esperava-se que writer.writeValueAsString(new TypeWithOptional(Optional.of("value"))) fosse igual a "value\n", mas não foi.
Esperava-se que writer.writeValueAsString(new TypeWithOptional(Optional.empty())) fosse igual a "\n", mas não foi.
Esperava-se que (reader.readValue("value\n", TypeWithOptional.class).data).get() contivesse "value", mas não contém.
Esperava-se que (reader.readValue("null\n", TypeWithOptional.class).data).get() contivesse "null", mas não contém.
Esperava-se que instantCsv fosse igual a str, mas não foi.
Esperava-se que bean.data fosse igual a bean1.data, mas não foi.
Esperava-se que writer.writeValueAsString(new TypeWithOptional(Optional.of("value"))) fosse igual a "value\n", mas não foi.
Esperava-se que writer.writeValueAsString(new TypeWithOptional(Optional.empty())) fosse igual a "\n", mas não foi.
Esperava-se que (reader.readValue("value\n", TypeWithOptional.class).data).get() contivesse "value", mas não contém.
Esperava-se que (reader.readValue("null\n", TypeWithOptional.class).data).get() contivesse "null", mas não contém.
Esperava-se que (reader.readValue("\n", TypeWithOptional.class).data).get() estivesse vazio, mas não está.
Esperava-se que entry não fosse nulo, mas obteve-se nulo.
Esperava-se que o id do resultado do trabalho fosse 123, mas obteve-se: entry.getJobResult().id
Esperava-se que o id do bean fosse 123, mas obteve-se: bean.id
Esperava-se que o id do bean1 fosse 123, mas obteve-se: bean1.id
