
Projeto: /home/vitor-otto/opensource/springdoc-openapi-2.0.2

Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v31/AbstractSpringDocV31Test.java linha: 55 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v31/app5/SpringDocApp5Test.java linha: 30 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v30/app171/SpringDocApp171Test.java linha: 68 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v30/AbstractSpringDocV30Test.java linha: 53 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v30/app173/SpringDocApp173Test.java linha: 63 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v30/app41/SpringDocApp41Test.java linha: 61 Método: assertEquals(expected, result, false)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v30/app41/SpringDocApp411Test.java linha: 59 Método: assertEquals(expected, result, false)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-api/src/test/java/test/org/springdoc/api/v30/app136/SpringDocApp136Test.java linha: 72 Método: assertEquals(expected, openApi, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-hateoas-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 79 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-function-webflux-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocFunctionTest.java linha: 53 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-function-webmvc-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 46 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-data-rest-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 77 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-javadoc-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 99 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-javadoc-tests/src/test/java/test/org/springdoc/api/app41/SpringDocApp41Test.java linha: 63 Método: assertEquals(expected, result, false)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-javadoc-tests/src/test/java/test/org/springdoc/api/app41/SpringDocApp411Test.java linha: 61 Método: assertEquals(expected, result, false)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-security-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 74 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webmvc-tests/src/test/java/test/org/springdoc/api/app148/SpringDocApp148Test.java linha: 53 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webmvc-tests/src/test/java/test/org/springdoc/api/app148/SpringDocApp148Test.java linha: 60 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webmvc-tests/src/test/java/test/org/springdoc/api/app144/SpringDocApp144Test.java linha: 52 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webmvc-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 46 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webmvc-tests/src/test/java/test/org/springdoc/api/app145/SpringDocApp145Test.java linha: 73 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app148/SpringDocApp148Test.java linha: 52 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app148/SpringDocApp148Test.java linha: 60 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app146/SpringDocApp146Test.java linha: 51 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app146/SpringDocApp146Test.java linha: 64 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app144/SpringDocApp144Test.java linha: 51 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 51 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app147/SpringDocApp147Test.java linha: 51 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app147/SpringDocApp147Test.java linha: 64 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app145/SpringDocApp1452Test.java linha: 49 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-actuator-webflux-tests/src/test/java/test/org/springdoc/api/app145/SpringDocApp1451Test.java linha: 66 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-groovy-tests/src/test/groovy/test/org/springdoc/api/AbstractSpringDocTest.java linha: 75 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-tests/springdoc-openapi-kotlin-tests/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 64 Método: JSONAssert.assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-api/src/test/java/test/org/springdoc/api/app81/SpringDocApp81Test.java linha: 73 Método: assertEquals(expected, openApi, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-api/src/test/java/test/org/springdoc/api/AbstractSpringDocTest.java linha: 51 Método: assertEquals(expected, result, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app15/SpringDocApp15Test.java linha: 72 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app14/SpringDocApp14Test.java linha: 69 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app19/SpringDocApp19Test.java linha: 73 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app18/SpringDocApp18Test.java linha: 76 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app16/SpringDocApp16Test.java linha: 72 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app20/SpringDocApp20Test.java linha: 73 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webflux-ui/src/test/java/test/org/springdoc/ui/app13/SpringDocApp13Test.java linha: 71 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-ui/src/test/java/test/org/springdoc/ui/app15/SpringDocApp15Test.java linha: 59 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-ui/src/test/java/test/org/springdoc/ui/app14/SpringDocApp14Test.java linha: 56 Método: assertEquals(expected, contentAsString, true)
Assert com mensagem: /home/vitor-otto/opensource/springdoc-openapi-2.0.2/springdoc-openapi-starter-webmvc-ui/src/test/java/test/org/springdoc/ui/app16/SpringDocApp16Test.java linha: 59 Método: assertEquals(expected, contentAsString, true)
